,actor,actress,art_direction,cinematography,costume,director,editing,effects,music,other,picture,s_actor,s_actress,screenplay,song,sound,year
The Battle of Algiers,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
Loves of a Blonde,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
Pharaoh,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
Three,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
Born Free,O,O,O,O,O,O,O,O,W,O,O,O,O,O,W,O,1966
An American Dream,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1966
The War Game,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1966
The Face of a Genius,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
Helicopter Canada,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
The Really Big Family,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
Le Volcan interdit,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
A Year Toward Tomorrow,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1966
Adolescence,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
Cowboy,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
The Odds Against,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
Részletek J.S. Bach Máté passiójából,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
Wild Wings,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1966
Turkey the Bridge,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
The Winning Strain,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
A Herb Alpert and the Tijuana Brass Double Feature,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1966
The Drag,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
The Pink Blueprint,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1966
The Bible: In the Beginning...,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1966
A Funny Thing Happened on the Way to the Forum,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,O,1966
The Gospel According to St. Matthew,O,O,N,O,N,O,O,O,N,O,O,O,O,O,O,O,1966
Return of the Seven,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1966
The Singing Nun,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1966
Stop the World  I Want to Get Off,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1966
Grand Prix,O,O,O,O,O,O,W,W,O,O,O,O,O,O,O,W,1966
Fantastic Voyage,O,O,W,N,O,O,N,W,O,O,O,O,O,O,O,O,1966
Gambit,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,N,1966
Is Paris Burning?,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,1966
Mister Buddwing,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1966
Juliet of the Spirits,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1966
The Oscar,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1966
Seconds,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1966
Mandragola,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1966
In the Heat of the Night,W,O,O,O,O,N,W,N,O,O,W,O,O,W,O,W,1967
Bonnie and Clyde,N,N,O,W,N,N,O,O,O,N,N,N,W,O,O,O,1967
Doctor Dolittle,O,O,N,N,O,O,N,W,N,O,N,O,O,O,W,N,1967
The Graduate,N,N,O,N,O,W,O,O,O,O,N,O,N,N,O,O,1967
Guess Who's Coming to Dinner,N,W,N,O,O,N,N,O,N,W,N,N,N,O,O,O,1967
In Cold Blood,O,O,O,N,O,N,O,O,N,O,O,O,O,N,O,O,1967
Cool Hand Luke,N,O,O,O,O,O,O,O,N,O,O,W,O,N,O,O,1967
The Whisperers,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1967
Wait Until Dark,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1967
The Dirty Dozen,O,O,O,O,O,O,N,W,O,O,O,N,O,O,O,N,1967
Thoroughly Modern Millie,O,O,N,O,N,O,O,O,N,O,O,O,N,O,N,N,1967
Barefoot in the Park,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1967
Divorce American Style,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
Two for the Road,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
The War Is Over,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
Ulysses,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1967
Closely Watched Trains,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1967
El amor brujo,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
I Even Met Happy Gypsies,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
Live for Life,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
Portrait of Chieko,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
The Anderson Platoon,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1967
Festival,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
Harvest,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
A King's Story,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
A Time for Burning,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
The Redwoods,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1967
Monument to the Dream,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
A Place to Stand,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1967
See You at the Pillar,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
While I Run This Race,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
Paddle to the Sea,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
Sky over Holland,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
Stop Look and Listen,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
The Box,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1967
Hypothese Beta,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
What on Earth!,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1967
Far from the Madding Crowd,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1967
Camelot,O,O,W,N,W,O,O,O,W,O,O,O,O,O,O,N,1967
Valley of the Dolls,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1967
The Jungle Book,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1967
Banning,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1967
Casino Royale,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1967
The Happiest Millionaire,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1967
The Taming of the Shrew,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1967
Beach Red,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,1967
Tobruk,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1967
Oliver!,N,O,W,N,N,W,N,O,W,O,W,N,O,N,O,W,1968
Funny Girl,O,W,O,N,O,O,N,O,N,O,N,O,N,O,N,N,1968
The Lion In Winter,N,W,O,O,O,N,O,O,O,O,N,O,O,O,O,O,1968
"Rachel, Rachel",O,N,O,O,O,O,O,O,O,O,N,O,N,N,O,O,1968
Romeo and Juliet,O,O,O,W,W,N,O,O,O,O,N,O,O,O,O,O,1968
2001: A Space Odyssey,O,O,N,O,O,N,O,W,O,N,O,O,O,O,O,O,1968
The Battle of Algiers,O,O,O,O,O,N,O,O,O,N,O,O,O,O,O,O,1968
Charly,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1968
The Heart Is a Lonely Hunter,N,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1968
The Fixer,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1968
The Subject Was Roses,O,N,O,O,O,O,O,O,O,O,O,W,O,O,O,O,1968
Isadora,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1968
Faces,O,O,O,O,O,O,O,O,O,N,O,N,N,O,O,O,1968
Star!,O,O,N,N,N,O,O,O,N,O,O,N,O,O,N,N,1968
The Producers,O,O,O,O,O,O,O,O,O,W,O,N,O,O,O,O,1968
Rosemary's Baby,O,O,O,O,O,O,O,O,O,O,O,O,W,N,O,O,1968
Hot Millions,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
The Lion in Winter,O,O,O,O,N,O,O,O,W,O,O,O,O,W,O,O,1968
The Odd Couple,O,O,O,O,O,O,N,O,O,O,O,O,O,N,O,O,1968
Journey into Self,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1968
A Few Notes on Our Food Problem,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
The Legendary Champions,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
Other Voices,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
Young Americans,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
Why Man Creates,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1968
The House That Ananda Built,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
The Revolving Door,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
A Space to Grow  Office of Economic Opportunity,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
A Way Out of the Wilderness,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
Robert Kennedy Remembered,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1968
The Dove,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
Duo,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
Prelude,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
Winnie the Pooh and the Blustery Day,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1968
The House That Jack Built,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
The Magic Pear Tree,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
Windy Day,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
The Fox,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1968
Planet of the Apes,O,O,O,O,N,O,O,O,N,O,O,O,O,O,O,O,1968
The Shoes of the Fisherman,O,O,N,O,O,O,O,O,N,O,O,O,O,O,O,O,1968
The Thomas Crown Affair,O,O,O,O,O,O,O,O,N,O,O,O,O,O,W,O,1968
Finian's Rainbow,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,N,1968
The Young Girls of Rochefort,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1968
Chitty Chitty Bang Bang,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1968
For Love of Ivy,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1968
Bullitt,O,O,O,O,O,O,W,O,O,O,O,O,O,O,O,N,1968
War and Peace,O,O,N,O,O,O,O,O,O,W,O,O,O,O,O,O,1968
The Boys of Paul Street,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
The Firemen's Ball,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
The Girl with the Pistol,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
Stolen Kisses,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1968
Ice Station Zebra,O,O,O,N,O,O,O,N,O,O,O,O,O,O,O,O,1968
Wild in the Streets,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,1968
Midnight Cowboy,N,O,O,O,O,W,N,O,O,O,W,O,N,W,O,O,1969
Anne of the Thousand Days,N,N,N,N,W,O,O,O,N,O,N,N,O,N,O,N,1969
Butch Cassidy and the Sundance Kid,O,O,O,W,O,N,O,O,W,W,N,O,O,O,W,N,1969
"Hello, Dolly!",O,O,W,N,N,O,N,O,W,O,N,O,O,O,O,W,1969
Z,O,O,O,O,O,N,W,O,O,W,N,O,O,N,O,O,1969
Alice's Restaurant,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,1969
"They Shoot Horses, Don't They?",O,N,N,O,N,N,N,O,N,O,O,W,N,N,O,O,1969
True Grit,W,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1969
"Goodbye, Mr. Chips",N,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1969
The Prime of Miss Jean Brodie,O,W,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1969
The Sterile Cuckoo,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1969
The Happy Ending,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1969
The Reivers,O,O,O,O,O,O,O,O,N,O,O,N,O,O,O,O,1969
Bob & Carol & Ted & Alice,O,O,O,N,O,O,O,O,O,N,O,N,N,O,O,O,1969
Easy Rider,O,O,O,O,O,O,O,O,O,N,O,N,O,O,O,O,1969
Cactus Flower,O,O,O,O,O,O,O,O,O,O,O,O,W,O,O,O,1969
Last Summer,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1969
The Damned,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
The Wild Bunch,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,O,1969
"Goodbye, Columbus",O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1969
Arthur Rubinstein  The Love of Life,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1969
Before the Mountain Was Moved,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
In the Year of the Pig,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
Olimpiada en México,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
The Wolf Men,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
Czechoslovakia 1968,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1969
An Impression of John Steinbeck: Writer,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
Jenny Is a Good Thing,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
Leo Beuerman,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
The Magic Machines,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1969
Blake,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
People Soup,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
It's Tough to Be a Bird,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1969
Of Men and Demons,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
Walking,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
The Secret of Santa Vittoria,O,O,O,O,O,O,N,O,N,O,O,O,O,O,O,O,1969
Paint Your Wagon,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1969
Sweet Charity,O,O,N,O,N,O,O,O,N,O,O,O,O,O,O,O,1969
"Gaily, Gaily",O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,N,1969
Marooned,O,O,O,N,O,O,O,W,O,O,O,O,O,O,O,N,1969
Ådalen 31,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
Battle of Neretva,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
The Brothers Karamazov,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
My Night at Maud's,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1969
"Krakatoa, East of Java",O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1969
Patton,W,O,W,N,O,W,W,N,N,W,W,O,O,O,O,W,1970
Airport,O,O,N,N,N,O,N,O,N,O,N,O,WN,N,O,N,1970
Five Easy Pieces,N,O,O,O,O,O,O,O,O,N,N,O,N,O,O,O,1970
Love Story,N,N,O,O,O,N,O,O,W,N,N,N,O,O,O,O,1970
M*A*S*H,O,O,O,O,O,N,N,O,O,O,N,O,N,W,O,O,1970
Fellini Satyricon,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,1970
Women in Love,O,W,O,N,O,N,O,O,O,O,O,O,O,N,O,O,1970
I Never Sang for My Father,N,O,O,O,O,O,O,O,O,O,O,N,O,N,O,O,1970
The Great White Hope,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1970
Ryan's Daughter,O,N,O,W,O,O,O,O,O,O,O,W,O,O,O,N,1970
Diary of a Mad Housewife,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1970
Lovers and Other Strangers,O,O,O,O,O,O,O,O,O,O,O,N,O,N,W,O,1970
Little Big Man,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1970
The Landlord,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1970
Joe,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
My Night at Maud's,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Woodstock,O,O,O,O,O,O,N,O,O,W,O,O,O,O,O,N,1970
Erinnerungen an die Zukunft,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Jack Johnson,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
King: A Filmed Record... Montgomery to Memphis,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Say Goodbye,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Interviews with My Lai Veterans,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1970
The Gifts,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
A Long Way from Nowhere,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Oisin,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Time Is Running Out,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
The Resurrection of Broncho Billy,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1970
Shut Up...I'm Crying,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Sticky My Fingers...Fleet My Feet,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Is It Always Right to Be Right?,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1970
The Further Adventures of Uncle Sam: Part Two,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
The Shepherd,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Cromwell,O,O,O,O,W,O,O,O,N,O,O,O,O,O,O,O,1970
I Girasoli,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1970
Let It Be,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,O,1970
The Baby Maker,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1970
A Boy Named Charlie Brown,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1970
Darling Lili,O,O,O,O,N,O,O,O,N,O,O,O,O,O,N,O,1970
Scrooge,O,O,N,O,N,O,O,O,N,O,O,O,O,O,N,O,1970
Madron,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1970
Pieces of Dreams,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1970
Tora! Tora! Tora!,O,O,N,N,O,O,N,W,O,O,O,O,O,O,O,N,1970
Investigation of a Citizen Above Suspicion,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1970
First Love,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Hoa-Binh,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Paix sur les champs,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
Tristana,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1970
The Hawaiians,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1970
The Molly Maguires,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1970
The French Connection,W,O,O,N,O,W,W,O,O,O,W,N,O,W,O,N,1971
A Clockwork Orange,O,O,O,O,O,N,N,O,O,O,N,O,O,N,O,O,1971
Fiddler on the Roof,N,O,N,W,O,N,O,O,W,O,N,N,O,O,O,W,1971
The Last Picture Show,O,O,O,N,O,N,O,O,O,O,N,WN,WN,N,O,O,1971
Nicholas and Alexandra,O,N,W,N,W,O,O,O,N,O,N,O,O,O,O,O,1971
Sunday Bloody Sunday,N,N,O,O,O,N,O,O,O,N,O,O,O,O,O,O,1971
Kotch,N,O,O,O,O,O,N,O,O,O,O,O,O,O,N,N,1971
The Hospital,N,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1971
Klute,O,W,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
McCabe & Mrs. Miller,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1971
"Mary, Queen of Scots",O,N,N,O,N,O,O,O,N,O,O,O,O,O,O,N,1971
Sometimes a Great Notion,O,O,O,O,O,O,O,O,O,O,O,N,O,O,N,O,1971
Carnal Knowledge,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1971
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1971
The Go-Between,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1971
Investigation of a Citizen Above Suspicion,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
Summer of '42,O,O,O,N,O,O,N,O,W,N,O,O,O,O,O,O,1971
The Conformist,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1971
The Garden of the Finzi-Continis,O,O,O,O,O,O,O,O,O,W,O,O,O,N,O,O,1971
Dodes'ka-den,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
The Emigrants,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
The Policeman,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
Tchaikovsky,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,O,1971
Bedknobs and Broomsticks,O,O,N,O,N,O,O,W,N,O,O,O,O,O,N,O,1971
Death in Venice,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1971
What's the Matter with Helen?,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1971
The Hellstrom Chronicle,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1971
Alaska Wilderness Lake,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
On Any Sunday,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
Ra,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
The Sorrow and the Pity,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
Sentinels of Silence,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1971
Adventures in Perception,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
Art Is...,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
The Numbers Start with the River,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
Somebody Waiting,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
Good Morning,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
The Rehearsal,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
The Crunch Bird,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1971
Evolution,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
The Selfish Giant,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1971
Shaft,O,O,O,O,O,O,O,O,N,O,O,O,O,O,W,O,1971
Straw Dogs,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1971
The Boy Friend,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1971
Willy Wonka & the Chocolate Factory,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1971
Bless the Beasts and Children,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1971
Diamonds Are Forever,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1971
The Andromeda Strain,O,O,N,O,O,O,N,O,O,O,O,O,O,O,O,O,1971
When Dinosaurs Ruled the Earth,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1971
The Godfather,W,O,O,O,N,N,N,O,O,O,W,N,O,W,O,N,1972
Cabaret,O,W,W,W,O,W,W,O,W,O,N,W,O,N,O,W,1972
Deliverance,O,O,O,O,O,N,N,O,O,O,N,O,O,O,O,O,1972
The Emigrants,O,N,O,O,O,N,O,O,O,O,N,O,O,N,O,O,1972
Sounder,N,N,O,O,O,O,O,O,O,O,N,O,O,N,O,O,1972
Sleuth,N,O,O,O,O,N,O,O,N,O,O,O,O,O,O,O,1972
The Ruling Class,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1972
Lady Sings the Blues,O,N,N,O,N,O,O,O,N,O,O,O,O,N,O,O,1972
Travels with My Aunt,O,N,N,N,W,O,O,O,O,O,O,O,O,O,O,O,1972
The Heartbreak Kid,O,O,O,O,O,O,O,O,O,O,O,N,N,O,O,O,1972
Butterflies Are Free,O,O,O,N,O,O,O,O,O,O,O,O,W,O,O,N,1972
Pete 'n' Tillie,O,O,O,O,O,O,O,O,O,O,O,O,N,N,O,O,1972
Fat City,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1972
The Poseidon Adventure,O,O,N,N,N,O,N,O,N,O,O,O,N,O,W,N,1972
The Candidate,O,O,O,O,O,O,O,O,O,O,O,O,O,W,O,N,1972
The Discreet Charm of the Bourgeoisie,O,O,O,O,O,O,O,O,O,W,O,O,O,N,O,O,1972
Murmur of the Heart,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1972
Young Winston,O,O,N,O,N,O,O,O,O,O,O,O,O,N,O,O,1972
Marjoe,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1972
Ape and Super-Ape,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
Malcolm X,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
Manson,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
The Silent Revolution,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
This Tiny World,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1972
Hundertwasser's Rainy Day,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
K-Z,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
Selling Out,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
The Tide of Traffic,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
Norman Rockwell's World... An American Dream,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1972
Frog Story,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
Solo,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
A Christmas Carol,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1972
Kama Sutra Rides Again,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
Tup Tup,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1972
