,index,year,name,category,result,score
1509,24,1954,Robert Strauss,s_actor,N,0.2
1510,25,1954,Donna Reed,s_actress,W,5.0
1511,26,1954,Grace Kelly,s_actress,N,0.2
1512,27,1954,Geraldine Page,s_actress,N,0.2
1513,28,1954,Marjorie Rambeau,s_actress,N,0.2
1514,29,1954,Thelma Ritter,s_actress,N,0.2
1495,10,1954,William Holden,actor,W,5.0
1496,11,1954,Marlon Brando,actor,N,0.2
1497,12,1954,Richard Burton,actor,N,0.2
1498,13,1954,Montgomery Clift,actor,N,0.2
1499,14,1954,Burt Lancaster,actor,N,0.2
1500,15,1954,Audrey Hepburn,actress,W,5.0
1501,16,1954,Leslie Caron,actress,N,0.2
1502,17,1954,Ava Gardner,actress,N,0.2
1503,18,1954,Deborah Kerr,actress,N,0.2
1504,19,1954,Maggie McNamara,actress,N,0.2
1515,30,1954,Daniel Taradash,screenplay,W,5.0
1516,31,1954,Eric Ambler,screenplay,N,0.2
1517,32,1954,Helen Deutsch,screenplay,N,0.2
1518,33,1954,Ian McLellan Hunter,screenplay,N,0.2
1519,34,1954,A.B. Guthrie Jr.,screenplay,N,0.2
1575,0,1955,Sam Spiegel,picture,W,5.0
1576,1,1955,Stanley Kramer,picture,N,0.2
1577,2,1955,William Perlberg,picture,N,0.2
1578,3,1955,Jack Cummings,picture,N,0.2
1579,4,1955,Sol C. Siegel,picture,N,0.2
1580,5,1955,Elia Kazan,director,W,5.0
1581,6,1955,George Seaton,director,N,0.2
1582,7,1955,William A. Wellman,director,N,0.2
1583,8,1955,Alfred Hitchcock,director,N,0.2
1584,9,1955,Billy Wilder,director,N,0.2
1595,20,1955,Edmond O'Brien,s_actor,W,5.0
1596,21,1955,Lee J. Cobb,s_actor,N,0.2
1597,22,1955,Karl Malden,s_actor,N,0.2
1598,23,1955,Rod Steiger,s_actor,N,0.2
1599,24,1955,Tom Tully,s_actor,N,0.2
1600,25,1955,Eva Marie Saint,s_actress,W,5.0
1601,26,1955,Nina Foch,s_actress,N,0.2
1602,27,1955,Katy Jurado,s_actress,N,0.2
1603,28,1955,Jan Sterling,s_actress,N,0.2
1604,29,1955,Claire Trevor,s_actress,N,0.2
1585,10,1955,Marlon Brando,actor,W,5.0
1586,11,1955,Humphrey Bogart,actor,N,0.2
1587,12,1955,Bing Crosby,actor,N,0.2
1588,13,1955,James Mason,actor,N,0.2
1589,14,1955,Dan O'Herlihy,actor,N,0.2
1590,15,1955,Grace Kelly,actress,W,5.0
1591,16,1955,Dorothy Dandridge,actress,N,0.2
1592,17,1955,Judy Garland,actress,N,0.2
1593,18,1955,Audrey Hepburn,actress,N,0.2
1594,19,1955,Jane Wyman,actress,N,0.2
1605,30,1955,George Seaton,screenplay,W,5.0
1606,31,1955,Stanley Roberts,screenplay,N,0.2
1607,32,1955,John Michael Hayes,screenplay,N,0.2
1608,33,1955,Billy Wilder,screenplay,N,0.2
1609,34,1955,Albert Hackett,screenplay,N,0.2
1668,0,1956,Harold Hecht,picture,W,5.0
1669,1,1956,Buddy Adler,picture,N,0.2
1670,2,1956,Leland Hayward,picture,N,0.2
1671,3,1956,Fred Kohlmar,picture,N,0.2
1672,4,1956,Hal B. Wallis,picture,N,0.2
1673,5,1956,Delbert Mann,director,W,5.0
1674,6,1956,John Sturges,director,N,0.2
1675,7,1956,Elia Kazan,director,N,0.2
1676,8,1956,Joshua Logan,director,N,0.2
1677,9,1956,David Lean,director,N,0.2
1688,20,1956,Jack Lemmon,s_actor,W,5.0
1689,21,1956,Arthur Kennedy,s_actor,N,0.2
1690,22,1956,Joe Mantell,s_actor,N,0.2
1691,23,1956,Sal Mineo,s_actor,N,0.2
1692,24,1956,Arthur O'Connell,s_actor,N,0.2
1693,25,1956,Jo Van Fleet,s_actress,W,5.0
1694,26,1956,Betsy Blair,s_actress,N,0.2
1695,27,1956,Peggy Lee,s_actress,N,0.2
1696,28,1956,Marisa Pavan,s_actress,N,0.2
1697,29,1956,Natalie Wood,s_actress,N,0.2
1678,10,1956,Ernest Borgnine,actor,W,5.0
1679,11,1956,James Cagney,actor,N,0.2
1680,12,1956,James Dean,actor,N,0.2
1681,13,1956,Frank Sinatra,actor,N,0.2
1682,14,1956,Spencer Tracy,actor,N,0.2
1683,15,1956,Anna Magnani,actress,W,5.0
1684,16,1956,Susan Hayward,actress,N,0.2
1685,17,1956,Katharine Hepburn,actress,N,0.2
1686,18,1956,Jennifer Jones,actress,N,0.2
1687,19,1956,Eleanor Parker,actress,N,0.2
1698,30,1956,Paddy Chayefsky,screenplay,W,5.0
1699,31,1956,Millard Kaufman,screenplay,N,0.2
1700,32,1956,Richard Brooks,screenplay,N,0.2
1701,33,1956,Paul Osborn,screenplay,N,0.2
1702,34,1956,Daniel Fuchs,screenplay,N,0.2
1761,0,1957,Mike Todd,picture,W,5.0
1762,1,1957,Robert Wyler,picture,N,0.2
1763,2,1957,George Stevens,picture,N,0.2
1764,3,1957,Charles Brackett,picture,N,0.2
1765,4,1957,Cecil B. DeMille,picture,N,0.2
1766,5,1957,George Stevens,director,W,5.0
1767,6,1957,Michael Anderson,director,N,0.2
1768,7,1957,William Wyler,director,N,0.2
1769,8,1957,Walter Lang,director,N,0.2
1770,9,1957,King Vidor,director,N,0.2
1781,20,1957,Anthony Quinn,s_actor,W,5.0
1782,21,1957,Don Murray,s_actor,N,0.2
1783,22,1957,Anthony Perkins,s_actor,N,0.2
1784,23,1957,Mickey Rooney,s_actor,N,0.2
1785,24,1957,Robert Stack,s_actor,N,0.2
1786,25,1957,Dorothy Malone,s_actress,W,5.0
1787,26,1957,Mildred Dunnock,s_actress,N,0.2
1788,27,1957,Eileen Heckart,s_actress,N,0.2
1789,28,1957,Mercedes McCambridge,s_actress,N,0.2
1790,29,1957,Patty McCormack,s_actress,N,0.2
1771,10,1957,Yul Brynner,actor,W,5.0
1772,11,1957,James Dean,actor,N,0.2
1773,12,1957,Kirk Douglas,actor,N,0.2
1774,13,1957,Rock Hudson,actor,N,0.2
1775,14,1957,Laurence Olivier,actor,N,0.2
1776,15,1957,Ingrid Bergman,actress,W,5.0
1777,16,1957,Carroll Baker,actress,N,0.2
1778,17,1957,Katharine Hepburn,actress,N,0.2
1779,18,1957,Nancy Kelly,actress,N,0.2
1780,19,1957,Deborah Kerr,actress,N,0.2
1791,30,1957,Albert Lamorisse,screenplay,W,5.0
1792,31,1957,Robert Lewin,screenplay,N,0.1
1793,32,1957,Andrew L. Stone,screenplay,N,0.1
1794,33,1957,Federico Fellini,screenplay,N,0.1
1795,34,1957,William Rose,screenplay,N,0.1
1796,35,1957,James Poe,screenplay,W,5.0
1797,36,1957,Tennessee Williams,screenplay,N,0.1
1798,37,1957,Michael Wilson,screenplay,N,0.1
1799,38,1957,Ivan Moffat,screenplay,N,0.1
1800,39,1957,Norman Corwin,screenplay,N,0.1
1858,0,1958,Sam Spiegel,picture,W,5.0
1859,1,1958,Henry Fonda,picture,N,0.2
1860,2,1958,Jerry Wald,picture,N,0.2
1861,3,1958,William Goetz,picture,N,0.2
1862,4,1958,Arthur Hornblow Jr.,picture,N,0.2
1863,5,1958,David Lean,director,W,5.0
1864,6,1958,Sidney Lumet,director,N,0.2
1865,7,1958,Mark Robson,director,N,0.2
1866,8,1958,Joshua Logan,director,N,0.2
1867,9,1958,Billy Wilder,director,N,0.2
1878,20,1958,Red Buttons,s_actor,W,5.0
1879,21,1958,Vittorio De Sica,s_actor,N,0.2
1880,22,1958,Sessue Hayakawa,s_actor,N,0.2
1881,23,1958,Arthur Kennedy,s_actor,N,0.2
1882,24,1958,Russ Tamblyn,s_actor,N,0.2
1883,25,1958,Miyoshi Umeki,s_actress,W,5.0
1884,26,1958,Carolyn Jones,s_actress,N,0.2
1885,27,1958,Elsa Lanchester,s_actress,N,0.2
1886,28,1958,Hope Lange,s_actress,N,0.2
1887,29,1958,Diane Varsi,s_actress,N,0.2
1868,10,1958,Alec Guinness,actor,W,5.0
1869,11,1958,Marlon Brando,actor,N,0.2
1870,12,1958,Anthony Franciosa,actor,N,0.2
1871,13,1958,Charles Laughton,actor,N,0.2
1872,14,1958,Anthony Quinn,actor,N,0.2
1873,15,1958,Joanne Woodward,actress,W,5.0
1874,16,1958,Deborah Kerr,actress,N,0.2
1875,17,1958,Anna Magnani,actress,N,0.2
1876,18,1958,Elizabeth Taylor,actress,N,0.2
1877,19,1958,Lana Turner,actress,N,0.2
1888,30,1958,Michael Wilson,screenplay,W,5.0
1889,31,1958,Reginald Rose,screenplay,N,0.2
1890,32,1958,John Lee Mahin,screenplay,N,0.2
1891,33,1958,John Michael Hayes,screenplay,N,0.2
1892,34,1958,Paul Osborn,screenplay,N,0.2
1930,0,1959,Arthur Freed,picture,W,5.0
1931,1,1959,Jack L. Warner,picture,N,0.2
1932,2,1959,Lawrence Weingarten,picture,N,0.2
1933,3,1959,Stanley Kramer,picture,N,0.2
1934,4,1959,Harold Hecht,picture,N,0.2
1935,5,1959,Vincente Minnelli,director,W,5.0
1936,6,1959,Richard Brooks,director,N,0.2
1937,7,1959,Stanley Kramer,director,N,0.2
1938,8,1959,Robert Wise,director,N,0.2
1939,9,1959,Mark Robson,director,N,0.2
1950,20,1959,Burl Ives,s_actor,W,5.0
1951,21,1959,Theodore Bikel,s_actor,N,0.2
1952,22,1959,Lee J. Cobb,s_actor,N,0.2
1953,23,1959,Arthur Kennedy,s_actor,N,0.2
1954,24,1959,Gig Young,s_actor,N,0.2
1955,25,1959,Wendy Hiller,s_actress,W,5.0
1956,26,1959,Peggy Cass,s_actress,N,0.2
1957,27,1959,Martha Hyer,s_actress,N,0.2
1958,28,1959,Maureen Stapleton,s_actress,N,0.2
1959,29,1959,Cara Williams,s_actress,N,0.2
1940,10,1959,David Niven,actor,W,5.0
1941,11,1959,Tony Curtis,actor,N,0.2
1942,12,1959,Paul Newman,actor,N,0.2
1943,13,1959,Sidney Poitier,actor,N,0.2
1944,14,1959,Spencer Tracy,actor,N,0.2
1945,15,1959,Susan Hayward,actress,W,5.0
1946,16,1959,Deborah Kerr,actress,N,0.2
1947,17,1959,Shirley MacLaine,actress,N,0.2
1948,18,1959,Rosalind Russell,actress,N,0.2
1949,19,1959,Elizabeth Taylor,actress,N,0.2
1960,30,1959,Alan Jay Lerner,screenplay,W,5.0
1961,31,1959,Richard Brooks,screenplay,N,0.2
1962,32,1959,Alec Guinness,screenplay,N,0.2
1963,33,1959,Don Mankiewicz,screenplay,N,0.2
1964,34,1959,John Gay,screenplay,N,0.2
2012,0,1960,Sam Zimbalist,picture,W,5.0
2013,1,1960,Otto Preminger,picture,N,0.2
2014,2,1960,George Stevens,picture,N,0.2
2015,3,1960,Henry Blanke,picture,N,0.2
2016,4,1960,John Woolf,picture,N,0.2
2017,5,1960,William Wyler,director,W,5.0
2018,6,1960,George Stevens,director,N,0.2
2019,7,1960,Fred Zinnemann,director,N,0.2
2020,8,1960,Jack Clayton,director,N,0.2
2021,9,1960,Billy Wilder,director,N,0.2
2032,20,1960,Hugh Griffith,s_actor,W,5.0
2033,21,1960,Arthur O'Connell,s_actor,N,0.2
2034,22,1960,George C. Scott,s_actor,N,0.2
2035,23,1960,Robert Vaughn,s_actor,N,0.2
2036,24,1960,Ed Wynn,s_actor,N,0.2
2037,25,1960,Shelley Winters,s_actress,W,5.0
2038,26,1960,Hermione Baddeley,s_actress,N,0.2
2039,27,1960,Susan Kohner,s_actress,N,0.2
2040,28,1960,Juanita Moore,s_actress,N,0.2
2041,29,1960,Thelma Ritter,s_actress,N,0.2
2022,10,1960,Charlton Heston,actor,W,5.0
2023,11,1960,Laurence Harvey,actor,N,0.2
2024,12,1960,Jack Lemmon,actor,N,0.2
2025,13,1960,Paul Muni,actor,N,0.2
2026,14,1960,James Stewart,actor,N,0.2
2027,15,1960,Simone Signoret,actress,W,5.0
2028,16,1960,Doris Day,actress,N,0.2
2029,17,1960,Audrey Hepburn,actress,N,0.2
2030,18,1960,Katharine Hepburn,actress,N,0.2
2031,19,1960,Elizabeth Taylor,actress,N,0.2
2042,30,1960,Neil Paterson,screenplay,W,5.0
2043,31,1960,Wendell Mayes,screenplay,N,0.2
2044,32,1960,Karl Tunberg,screenplay,N,0.2
2045,33,1960,Robert Anderson,screenplay,N,0.2
2046,34,1960,Billy Wilder,screenplay,N,0.2
2104,0,1961,Billy Wilder,picture,W,5.0
2105,1,1961,John Wayne,picture,N,0.2
2106,2,1961,Bernard Smith,picture,N,0.2
2107,3,1961,Jerry Wald,picture,N,0.2
2108,4,1961,Fred Zinnemann,picture,N,0.2
2109,5,1961,Billy Wilder,director,W,5.0
2110,6,1961,Jules Dassin,director,N,0.2
2111,7,1961,Alfred Hitchcock,director,N,0.2
2112,8,1961,Jack Cardiff,director,N,0.2
2113,9,1961,Fred Zinnemann,director,N,0.2
2124,20,1961,Peter Ustinov,s_actor,W,5.0
2125,21,1961,Peter Falk,s_actor,N,0.2
2126,22,1961,Jack Kruschen,s_actor,N,0.2
2127,23,1961,Sal Mineo,s_actor,N,0.2
2128,24,1961,Chill Wills,s_actor,N,0.2
2129,25,1961,Shirley Jones,s_actress,W,5.0
2130,26,1961,Glynis Johns,s_actress,N,0.2
2131,27,1961,Shirley Knight,s_actress,N,0.2
2132,28,1961,Janet Leigh,s_actress,N,0.2
2133,29,1961,Mary Ure,s_actress,N,0.2
2114,10,1961,Burt Lancaster,actor,W,5.0
2115,11,1961,Trevor Howard,actor,N,0.2
2116,12,1961,Jack Lemmon,actor,N,0.2
2117,13,1961,Laurence Olivier,actor,N,0.2
2118,14,1961,Spencer Tracy,actor,N,0.2
2119,15,1961,Elizabeth Taylor,actress,W,5.0
2120,16,1961,Greer Garson,actress,N,0.2
2121,17,1961,Deborah Kerr,actress,N,0.2
2122,18,1961,Shirley MacLaine,actress,N,0.2
2123,19,1961,Melina Mercouri,actress,N,0.2
2134,30,1961,Richard Brooks,screenplay,W,5.0
2135,31,1961,Nedrick Young,screenplay,N,0.2
2136,32,1961,Gavin Lambert,screenplay,N,0.2
2137,33,1961,Isobel Lennart,screenplay,N,0.2
2138,34,1961,James Kennaway,screenplay,N,0.2
2196,0,1962,Robert Wise,picture,W,5.0
2197,1,1962,Joshua Logan,picture,N,0.2
2198,2,1962,Carl Foreman,picture,N,0.2
2199,3,1962,Robert Rossen,picture,N,0.2
2200,4,1962,Stanley Kramer,picture,N,0.2
2201,5,1962,Robert Wise,director,W,5.0
2202,6,1962,Federico Fellini,director,N,0.2
2203,7,1962,J. Lee Thompson,director,N,0.2
2204,8,1962,Robert Rossen,director,N,0.2
2205,9,1962,Stanley Kramer,director,N,0.2
2216,20,1962,George Chakiris,s_actor,W,5.0
2217,21,1962,Montgomery Clift,s_actor,N,0.2
2218,22,1962,Peter Falk,s_actor,N,0.2
2219,23,1962,Jackie Gleason,s_actor,N,0.2
2220,24,1962,George C. Scott,s_actor,N,0.2
2221,25,1962,Rita Moreno,s_actress,W,5.0
2222,26,1962,Fay Bainter,s_actress,N,0.2
2223,27,1962,Judy Garland,s_actress,N,0.2
2224,28,1962,Lotte Lenya,s_actress,N,0.2
2225,29,1962,Una Merkel,s_actress,N,0.2
2206,10,1962,Maximilian Schell,actor,W,5.0
2207,11,1962,Charles Boyer,actor,N,0.2
2208,12,1962,Paul Newman,actor,N,0.2
2209,13,1962,Spencer Tracy,actor,N,0.2
2210,14,1962,Stuart Whitman,actor,N,0.2
2211,15,1962,Sophia Loren,actress,W,5.0
2212,16,1962,Audrey Hepburn,actress,N,0.2
2213,17,1962,Piper Laurie,actress,N,0.2
2214,18,1962,Geraldine Page,actress,N,0.2
2215,19,1962,Natalie Wood,actress,N,0.2
2226,30,1962,Abby Mann,screenplay,W,5.0
2227,31,1962,George Axelrod,screenplay,N,0.2
2228,32,1962,Carl Foreman,screenplay,N,0.2
2229,33,1962,Robert Rossen,screenplay,N,0.2
2230,34,1962,Ernest Lehman,screenplay,N,0.2
2288,0,1963,Sam Spiegel,picture,W,5.0
2289,1,1963,Darryl F. Zanuck,picture,N,0.2
2290,2,1963,Morton DaCosta,picture,N,0.2
2291,3,1963,Aaron Rosenberg,picture,N,0.2
2292,4,1963,Alan J. Pakula,picture,N,0.2
2293,5,1963,David Lean,director,W,5.0
2294,6,1963,Frank Perry,director,N,0.2
2295,7,1963,Pietro Germi,director,N,0.2
2296,8,1963,Arthur Penn,director,N,0.2
2297,9,1963,Robert Mulligan,director,N,0.2
2308,20,1963,Ed Begley,s_actor,W,5.0
2309,21,1963,Victor Buono,s_actor,N,0.2
2310,22,1963,Telly Savalas,s_actor,N,0.2
2311,23,1963,Omar Sharif,s_actor,N,0.2
2312,24,1963,Terence Stamp,s_actor,N,0.2
2313,25,1963,Patty Duke,s_actress,W,5.0
2314,26,1963,Mary Badham,s_actress,N,0.2
2315,27,1963,Shirley Knight,s_actress,N,0.2
2316,28,1963,Angela Lansbury,s_actress,N,0.2
2317,29,1963,Thelma Ritter,s_actress,N,0.2
2298,10,1963,Gregory Peck,actor,W,5.0
2299,11,1963,Burt Lancaster,actor,N,0.2
2300,12,1963,Jack Lemmon,actor,N,0.2
2301,13,1963,Marcello Mastroianni,actor,N,0.2
2302,14,1963,Peter O'Toole,actor,N,0.2
2303,15,1963,Anne Bancroft,actress,W,5.0
2304,16,1963,Bette Davis,actress,N,0.2
2305,17,1963,Katharine Hepburn,actress,N,0.2
2306,18,1963,Geraldine Page,actress,N,0.2
2307,19,1963,Lee Remick,actress,N,0.2
2318,30,1963,Horton Foote,screenplay,W,5.0
2319,31,1963,Eleanor Perry,screenplay,N,0.2
2320,32,1963,Robert Bolt,screenplay,N,0.2
2321,33,1963,Vladimir Nabokov,screenplay,N,0.2
2322,34,1963,William Gibson,screenplay,N,0.2
2380,0,1964,Tony Richardson,picture,W,5.0
2381,1,1964,Elia Kazan,picture,N,0.2
2382,2,1964,Walter Wanger,picture,N,0.2
2383,3,1964,Bernard Smith,picture,N,0.2
2384,4,1964,Ralph Nelson,picture,N,0.2
2385,5,1964,Tony Richardson,director,W,5.0
2386,6,1964,Federico Fellini,director,N,0.2
2387,7,1964,Elia Kazan,director,N,0.2
2388,8,1964,Otto Preminger,director,N,0.2
2389,9,1964,Martin Ritt,director,N,0.2
2400,20,1964,Melvyn Douglas,s_actor,W,5.0
2401,21,1964,Nick Adams,s_actor,N,0.2
2402,22,1964,Bobby Darin,s_actor,N,0.2
2403,23,1964,Hugh Griffith,s_actor,N,0.2
2404,24,1964,John Huston,s_actor,N,0.2
2405,25,1964,Margaret Rutherford,s_actress,W,5.0
2406,26,1964,Diane Cilento,s_actress,N,0.2
2407,27,1964,Edith Evans,s_actress,N,0.2
2408,28,1964,Joyce Redman,s_actress,N,0.2
2409,29,1964,Lilia Skala,s_actress,N,0.2
2390,10,1964,Sidney Poitier,actor,W,5.0
2391,11,1964,Albert Finney,actor,N,0.2
2392,12,1964,Richard Harris,actor,N,0.2
2393,13,1964,Rex Harrison,actor,N,0.2
2394,14,1964,Paul Newman,actor,N,0.2
2395,15,1964,Patricia Neal,actress,W,5.0
2396,16,1964,Leslie Caron,actress,N,0.2
2397,17,1964,Shirley MacLaine,actress,N,0.2
2398,18,1964,Rachel Roberts,actress,N,0.2
2399,19,1964,Natalie Wood,actress,N,0.2
2410,30,1964,John Osborne,screenplay,W,5.0
2411,31,1964,Richard L. Breen,screenplay,N,0.2
2412,32,1964,Irving Ravetch,screenplay,N,0.2
2413,33,1964,James Poe,screenplay,N,0.2
2414,34,1964,Serge Bourguignon,screenplay,N,0.2
2474,0,1965,Jack L. Warner,picture,W,5.0
2475,1,1965,Hal B. Wallis,picture,N,0.2
2476,2,1965,Stanley Kubrick,picture,N,0.2
2477,3,1965,Walt Disney,picture,N,0.2
2478,4,1965,Michael Cacoyannis,picture,N,0.2
2479,5,1965,George Cukor,director,W,5.0
2480,6,1965,Peter Glenville,director,N,0.2
2481,7,1965,Stanley Kubrick,director,N,0.2
2482,8,1965,Robert Stevenson,director,N,0.2
2483,9,1965,Michael Cacoyannis,director,N,0.2
2494,20,1965,Peter Ustinov,s_actor,W,5.0
2495,21,1965,John Gielgud,s_actor,N,0.2
2496,22,1965,Stanley Holloway,s_actor,N,0.2
2497,23,1965,Edmond O'Brien,s_actor,N,0.2
2498,24,1965,Lee Tracy,s_actor,N,0.2
2499,25,1965,Lila Kedrova,s_actress,W,5.0
2500,26,1965,Gladys Cooper,s_actress,N,0.2
2501,27,1965,Edith Evans,s_actress,N,0.2
2502,28,1965,Grayson Hall,s_actress,N,0.2
2503,29,1965,Agnes Moorehead,s_actress,N,0.2
2484,10,1965,Rex Harrison,actor,W,5.0
2485,11,1965,Richard Burton,actor,N,0.2
2486,12,1965,Peter O'Toole,actor,N,0.2
2487,13,1965,Anthony Quinn,actor,N,0.2
2488,14,1965,Peter Sellers,actor,N,0.2
2489,15,1965,Julie Andrews,actress,W,5.0
2490,16,1965,Anne Bancroft,actress,N,0.2
2491,17,1965,Sophia Loren,actress,N,0.2
2492,18,1965,Debbie Reynolds,actress,N,0.2
2493,19,1965,Kim Stanley,actress,N,0.2
2504,30,1965,Edward Anhalt,screenplay,W,5.0
2505,31,1965,Stanley Kubrick,screenplay,N,0.2
2506,32,1965,Bill Walsh,screenplay,N,0.2
2507,33,1965,Alan Jay Lerner,screenplay,N,0.2
2508,34,1965,Michael Cacoyannis,screenplay,N,0.2
2568,0,1966,Robert Wise,picture,W,5.0
2569,1,1966,Joseph Janni,picture,N,0.2
2570,2,1966,Carlo Ponti,picture,N,0.2
2571,3,1966,Stanley Kramer,picture,N,0.2
2572,4,1966,Fred Coe,picture,N,0.2
2573,5,1966,Robert Wise,director,W,5.0
2574,6,1966,William Wyler,director,N,0.2
2575,7,1966,John Schlesinger,director,N,0.2
2576,8,1966,David Lean,director,N,0.2
2577,9,1966,Hiroshi Teshigahara,director,N,0.2
2588,20,1966,Martin Balsam,s_actor,W,5.0
2589,21,1966,Ian Bannen,s_actor,N,0.2
2590,22,1966,Tom Courtenay,s_actor,N,0.2
2591,23,1966,Michael Dunn,s_actor,N,0.2
2592,24,1966,Frank Finlay,s_actor,N,0.2
2593,25,1966,Shelley Winters,s_actress,W,5.0
2594,26,1966,Ruth Gordon,s_actress,N,0.2
2595,27,1966,Joyce Redman,s_actress,N,0.2
2596,28,1966,Maggie Smith,s_actress,N,0.2
2597,29,1966,Peggy Wood,s_actress,N,0.2
2578,10,1966,Lee Marvin,actor,W,5.0
2579,11,1966,Richard Burton,actor,N,0.2
2580,12,1966,Laurence Olivier,actor,N,0.2
2581,13,1966,Rod Steiger,actor,N,0.2
2582,14,1966,Oskar Werner,actor,N,0.2
2583,15,1966,Julie Christie,actress,W,5.0
2584,16,1966,Julie Andrews,actress,N,0.2
2585,17,1966,Samantha Eggar,actress,N,0.2
2586,18,1966,Elizabeth Hartman,actress,N,0.2
2587,19,1966,Simone Signoret,actress,N,0.2
2598,30,1966,Robert Bolt,screenplay,W,5.0
2599,31,1966,Walter Newman,screenplay,N,0.2
2600,32,1966,Stanley Mann,screenplay,N,0.2
2601,33,1966,Abby Mann,screenplay,N,0.2
2602,34,1966,Herb Gardner,screenplay,N,0.2
2662,0,1967,Fred Zinnemann,picture,W,5.0
2663,1,1967,Lewis Gilbert,picture,N,0.2
2664,2,1967,Norman Jewison,picture,N,0.2
2665,3,1967,Robert Wise,picture,N,0.2
2666,4,1967,Ernest Lehman,picture,N,0.2
2667,5,1967,Fred Zinnemann,director,W,5.0
2668,6,1967,Michelangelo Antonioni,director,N,0.2
2669,7,1967,Claude Lelouch,director,N,0.2
2670,8,1967,Richard Brooks,director,N,0.2
2671,9,1967,Mike Nichols,director,N,0.2
2682,20,1967,Walter Matthau,s_actor,W,5.0
2683,21,1967,Mako,s_actor,N,0.2
2684,22,1967,James Mason,s_actor,N,0.2
2685,23,1967,George Segal,s_actor,N,0.2
2686,24,1967,Robert Shaw,s_actor,N,0.2
2687,25,1967,Sandy Dennis,s_actress,W,5.0
2688,26,1967,Wendy Hiller,s_actress,N,0.2
2689,27,1967,Jocelyne LaGarde,s_actress,N,0.2
2690,28,1967,Vivien Merchant,s_actress,N,0.2
2691,29,1967,Geraldine Page,s_actress,N,0.2
2672,10,1967,Paul Scofield,actor,W,5.0
2673,11,1967,Alan Arkin,actor,N,0.2
2674,12,1967,Richard Burton,actor,N,0.2
2675,13,1967,Michael Caine,actor,N,0.2
2676,14,1967,Steve McQueen,actor,N,0.2
2677,15,1967,Elizabeth Taylor,actress,W,5.0
2678,16,1967,Anouk Aimée,actress,N,0.2
2679,17,1967,Ida Kamińska,actress,N,0.2
2680,18,1967,Lynn Redgrave,actress,N,0.2
2681,19,1967,Vanessa Redgrave,actress,N,0.2
2692,30,1967,Robert Bolt,screenplay,W,5.0
2693,31,1967,Bill Naughton,screenplay,N,0.2
2694,32,1967,Richard Brooks,screenplay,N,0.2
2695,33,1967,William Rose,screenplay,N,0.2
2696,34,1967,Ernest Lehman,screenplay,N,0.2
2756,0,1968,Walter Mirisch,picture,W,5.0
2757,1,1968,Warren Beatty,picture,N,0.2
2758,2,1968,Arthur P. Jacobs,picture,N,0.2
2759,3,1968,Lawrence Turman,picture,N,0.2
2760,4,1968,Stanley Kramer,picture,N,0.2
2761,5,1968,Mike Nichols,director,W,5.0
2762,6,1968,Arthur Penn,director,N,0.2
2763,7,1968,Stanley Kramer,director,N,0.2
2764,8,1968,Richard Brooks,director,N,0.2
2765,9,1968,Norman Jewison,director,N,0.2
2776,20,1968,George Kennedy,s_actor,W,5.0
2777,21,1968,John Cassavetes,s_actor,N,0.2
2778,22,1968,Gene Hackman,s_actor,N,0.2
2779,23,1968,Cecil Kellaway,s_actor,N,0.2
2780,24,1968,Michael J. Pollard,s_actor,N,0.2
2781,25,1968,Estelle Parsons,s_actress,W,5.0
2782,26,1968,Carol Channing,s_actress,N,0.2
2783,27,1968,Mildred Natwick,s_actress,N,0.2
2784,28,1968,Beah Richards,s_actress,N,0.2
2785,29,1968,Katharine Ross,s_actress,N,0.2
2766,10,1968,Rod Steiger,actor,W,5.0
2767,11,1968,Warren Beatty,actor,N,0.2
2768,12,1968,Dustin Hoffman,actor,N,0.2
2769,13,1968,Paul Newman,actor,N,0.2
2770,14,1968,Spencer Tracy,actor,N,0.2
2771,15,1968,Katharine Hepburn,actress,W,5.0
2772,16,1968,Anne Bancroft,actress,N,0.2
2773,17,1968,Faye Dunaway,actress,N,0.2
2774,18,1968,Edith Evans,actress,N,0.2
2775,19,1968,Audrey Hepburn,actress,N,0.2
2786,30,1968,Stirling Silliphant,screenplay,W,5.0
2787,31,1968,Donn Pearce,screenplay,N,0.2
2788,32,1968,Buck Henry,screenplay,N,0.2
2789,33,1968,Richard Brooks,screenplay,N,0.2
2790,34,1968,Joseph Strick,screenplay,N,0.2
2835,0,1969,John Woolf,picture,W,5.0
2836,1,1969,Ray Stark,picture,N,0.2
2837,2,1969,Martin Poll,picture,N,0.2
2838,3,1969,Paul Newman,picture,N,0.2
2839,4,1969,John Brabourne,picture,N,0.2
2840,5,1969,Carol Reed,director,W,5.0
2841,6,1969,Stanley Kubrick,director,N,0.2
2842,7,1969,Gillo Pontecorvo,director,N,0.2
2843,8,1969,Anthony Harvey,director,N,0.2
2844,9,1969,Franco Zeffirelli,director,N,0.2
2855,20,1969,Jack Albertson,s_actor,W,5.0
2856,21,1969,Seymour Cassel,s_actor,N,0.2
2857,22,1969,Daniel Massey,s_actor,N,0.2
2858,23,1969,Jack Wild,s_actor,N,0.2
2859,24,1969,Gene Wilder,s_actor,N,0.2
2860,25,1969,Ruth Gordon,s_actress,W,5.0
2861,26,1969,Lynn Carlin,s_actress,N,0.2
2862,27,1969,Sondra Locke,s_actress,N,0.2
2863,28,1969,Kay Medford,s_actress,N,0.2
